1.26	0
2.52	0
3.78	0
5.04	0
6.3	0
7.56	0
8.82	11
10.08	202
11.34	1458
12.6	4944
13.86	9056
15.12	11771
16.38	12475
17.64	13113
18.9	13138
20.16	13331
21.42	13572
22.68	13374
23.94	13496
25.2	13485
26.46	13491
27.72	13409
28.98	13540
30.24	13633
31.5	13427
32.76	13406
34.02	13232
35.28	12874
36.54	12786
37.8	12828
39.06	12706
40.32	12384
41.58	12206
42.84	12459
44.1	12506
45.36	12121
46.62	12040
47.88	12194
49.14	12005
50.4	11861
51.66	11921
52.92	11704
54.18	11504
55.44	11751
56.7	11627
57.96	11552
59.22	11717
60.48	11444
61.74	11412
63	11211
64.26	11231
65.52	11301
66.78	11343
68.04	11345
69.3	11233
70.56	11337
71.82	11080
73.08	11259
74.34	10904
75.6	10934
76.86	10898
78.12	10892
79.38	10921
80.64	10881
81.9	10614
83.16	10606
84.42	10789
85.68	10695
86.94	10371
88.2	10570
89.46	10532
90.72	10593
91.98	10543
93.24	10485
94.5	10441
95.76	10351
97.02	10386
98.28	10382
99.54	10220
100.8	10141
102.06	10345
103.32	10127
104.58	10122
105.84	10212
107.1	10237
108.36	10189
109.62	10036
110.88	9993
112.14	10107
113.4	9890
114.66	10061
115.92	10218
117.18	9935
118.44	9845
119.7	9893
120.96	9865
122.22	9783
123.48	9851
124.74	9733
126	9771
127.26	9662
128.52	9772
129.78	9715
131.04	9739
132.3	9697
133.56	9660
134.82	9417
136.08	9652
137.34	9452
138.6	9458
139.86	9551
141.12	9499
142.38	9448
143.64	9297
144.9	9483
146.16	9273
147.42	9363
148.68	9450
149.94	9148
151.2	9397
152.46	9304
153.72	9348
154.98	9225
156.24	9286
157.5	9200
158.76	9190
160.02	9330
161.28	9320
162.54	9061
163.8	9104
165.06	9022
166.32	9166
167.58	9063
168.84	8987
170.1	9068
171.36	8911
172.62	8965
173.88	8996
175.14	9016
176.4	8966
177.66	9106
178.92	8959
180.18	9008
181.44	8893
182.7	8959
183.96	8899
185.22	8888
186.48	8884
187.74	8782
189	8911
190.26	9073
191.52	8956
192.78	8909
194.04	8649
195.3	8854
196.56	8773
197.82	9034
199.08	8716
200.34	8768
201.6	8818
202.86	8726
204.12	8609
205.38	8796
206.64	8625
207.9	8814
209.16	8589
210.42	8665
211.68	8649
212.94	8646
214.2	8623
215.46	8496
216.72	8665
217.98	8870
219.24	8819
220.5	8714
221.76	8871
223.02	8563
224.28	8629
225.54	8787
226.8	8559
228.06	8955
229.32	8665
230.58	8700
231.84	8656
233.1	8654
234.36	8722
235.62	8584
236.88	8597
238.14	8713
239.4	8771
240.66	8570
241.92	8811
243.18	8797
244.44	8605
245.7	8848
246.96	8832
248.22	8723
249.48	8813
250.74	8724
252	8718
253.26	8844
254.52	8788
255.78	8914
257.04	8988
258.3	8792
259.56	8876
260.82	8969
262.08	8964
263.34	9093
264.6	9021
265.86	9015
267.12	9106
268.38	9191
269.64	9173
270.9	9152
272.16	9320
273.42	9381
274.68	9375
275.94	9542
277.2	9201
278.46	9290
279.72	9327
280.98	9424
282.24	9391
283.5	9703
284.76	9540
286.02	9740
287.28	9556
288.54	9570
289.8	9882
291.06	9734
292.32	9747
293.58	9940
294.84	9896
296.1	9761
297.36	10096
298.62	10281
299.88	10343
301.14	10296
302.4	10345
303.66	10251
304.92	10348
306.18	10654
307.44	10718
308.7	10668
309.96	10794
311.22	10994
312.48	10819
313.74	10962
315	10871
316.26	11239
317.52	11363
318.78	11511
320.04	11434
321.3	11458
322.56	11603
323.82	12080
325.08	12093
326.34	12138
327.6	12324
328.86	12471
330.12	12772
331.38	12750
332.64	12954
333.9	13002
335.16	13281
336.42	13292
337.68	13320
338.94	13623
340.2	13618
341.46	13823
342.72	14123
343.98	13982
345.24	14080
346.5	14018
347.76	14031
349.02	13848
350.28	14031
351.54	13865
352.8	13490
354.06	13427
355.32	13010
356.58	12759
357.84	12578
359.1	11827
360.36	11172
361.62	10811
362.88	10282
364.14	9680
365.4	9098
366.66	8446
367.92	7965
369.18	7382
370.44	6943
371.7	6462
372.96	6143
374.22	5706
375.48	5318
376.74	5013
378	4629
379.26	4364
380.52	4102
381.78	3684
383.04	3606
384.3	3318
385.56	3126
386.82	2938
388.08	2894
389.34	2608
390.6	2411
391.86	2240
393.12	1949
394.38	1901
395.64	1748
396.9	1618
398.16	1564
399.42	1335
400.68	1211
401.94	1070
403.2	1093
404.46	929
405.72	850
406.98	711
408.24	665
409.5	633
410.76	578
412.02	495
413.28	447
414.54	377
415.8	323
417.06	339
418.32	276
419.58	265
420.84	210
422.1	204
423.36	203
424.62	168
425.88	133
427.14	145
428.4	113
429.66	116
430.92	92
432.18	78
433.44	66
434.7	68
435.96	47
437.22	47
438.48	22
439.74	45
441	25
442.26	26
443.52	18
444.78	27
446.04	13
447.3	10
448.56	8
449.82	9
451.08	8
452.34	6
453.6	3
454.86	4
456.12	6
457.38	2
458.64	0
459.9	0
461.16	0
462.42	2
463.68	0
464.94	0
466.2	0
467.46	1
468.72	0
469.98	1
471.24	0
472.5	0
473.76	1
475.02	1
476.28	1
477.54	1
478.8	1
480.06	0
481.32	0
